Fragment,105.1,105.1,105.1,105.1,105.1,107.1,107.1,107.1,107.1,107.1,107.1,136.0,136.0,136.0,136.0,57.1,57.1,57.1,64.0,64.0,64.0,64.0,64.0,77.0,77.0,77.0,77.0,77.0,77.0,77.1,77.1,77.1,77.1,77.1,77.1,90.0,90.0,90.0,90.0,90.0
IsotopeRatio,13C-18O/13C,15N/13C,18O/13C,D/13C,Unsub/13C,13C/13C-34S,15N-34S/13C-34S,33S/13C-34S,34S/13C-34S,D-34S/13C-34S,Unsub/13C-34S,13C-18O/13C-34S,18O-33S/13C-34S,34S/13C-34S,D-34S/13C-34S,15N/13C,D/13C,Unsub/13C,13C-34S/34S,13C/34S,33S/34S,D-34S/34S,Unsub/34S,13C-18O/Unsub,13C/Unsub,15N/Unsub,17O/Unsub,18O/Unsub,D/Unsub,13C-18O/13C,15N/13C,17O/13C,18O/13C,D/13C,Unsub/13C,13C/13C-34S,33S/13C-34S,34S-D/13C-34S,34S/13C-34S,Unsub/13C-34S
ScanByScan Avg R Val,0.07849772327755768,0.07302970139391812,0.034475450197034574,0.02158395791918642,0.24812889179039269,0.0878450109168236,0.07441764080750377,0.013924201753417182,0.2609119412836571,0.03139824845867616,0.020731662896939354,0.08238697168239356,0.009579734010508467,0.06997576056936627,0.020145535278382618,0.11014206882097537,0.024280369931812384,0.692448373587355,0.5788280018070472,0.05442517265300759,0.017576234031861728,0.016759777009292997,0.08720034234913555,0.0455487054700072,0.6409641102164231,0.09289721037584629,0.01523449380319513,0.08922073191776704,0.009169276890033377,0.024235841096941046,0.09433411676186775,0.007573815024924995,0.020863531516326448,0.022095952206949505,0.6648655464217907,0.07791051840049455,0.012312774304964302,0.018187838925101646,0.3517744488637022,0.025911464994244283
TrapRule Avg R val,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
ScanStdDev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScanStdError,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScanRelStdError,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrapStdDev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrapStdError,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrapRelStdError,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
